País;Código ISO país;Oficina de registro;Grupo edad;Edad (años);Área Conocimiento;Sub Area Conocimiento;Nivel Académico;Estado civil;Género;Etnia de la persona;Estatura (CM);Localización;Cantidad de personas
ALEMANIA;DEU;C. FRANKFURT;ADULTO;36;CIENCIAS SOCIALES Y HUMANAS;OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS;POSTGRADO - MAESTRIA;SOLTERO;FEMENINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;32;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;ECONOMÍA;NO INDICA;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;159;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO MAYOR;64;NINGUNA;NINGUNA;NO INDICA;DIVORCIADO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO JOVEN;27;CIENCIAS DE LA SALUD;MEDICINA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;47;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);2
ALEMANIA;DEU;C. FRANKFURT;ADULTO;41;MATEMÁTICAS Y CIENCIAS NATURALES;FÍSICA;NO INDICA;CASADO;FEMENINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;30;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;ECONOMÍA;NO INDICA;DESCONOCIDO;MASCULINO;SIN ETNIA REGISTRADA;167;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;33;CIENCIAS DE LA SALUD;SALUD PÚBLICA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO JOVEN;26;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA MECÁNICA Y AFINES;NO INDICA;DESCONOCIDO;MASCULINO;SIN ETNIA REGISTRADA;182;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO MAYOR;68;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;AFRODESCENDIENTE;160;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;33;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;CONTADURÍA PÚBLICA;NO INDICA;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;157;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;48;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA MECÁNICA Y AFINES;NO INDICA;CASADO;MASCULINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO JOVEN;27;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;NINGUNA;170;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;32;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA ADMINISTRATIVA Y AFINES;NO INDICA;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;170;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;33;CIENCIAS SOCIALES Y HUMANAS;CIENCIA POLÍTICA Y/O RELACIONES INTERNACIONALES;POSTGRADO - ESPECIALIZACIÓN;SOLTERO;MASCULINO;NINGUNA;178;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;32;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;163;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;37;NINGUNA;NINGUNA;NO INDICA;UNION_LIBRE;FEMENINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO JOVEN;19;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);7
ALEMANIA;DEU;C. FRANKFURT;INFANTE;6;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;43;NO INDICA;NO INDICA;PREGRADO - TÉCNICO PROFESIONAL;UNION_LIBRE;FEMENINO;SIN ETNIA REGISTRADA;150;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;37;CIENCIAS SOCIALES Y HUMANAS;OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS;POSTGRADO - ESPECIALIZACIÓN;CASADO;MASCULINO;NINGUNA;169;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;55;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;47;CIENCIAS SOCIALES Y HUMANAS;DERECHO Y AFINES;PREGRADO - PROFESIONAL;CASADO;FEMENINO;NINGUNA;170;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;31;INGENIERÍA, ARQUITECTURA Y AFINES;ARQUITECTURA;NO INDICA;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;164;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;52;NO INDICA;NO INDICA;PREGRADO - PROFESIONAL;CASADO;FEMENINO;NINGUNA;167;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;PRIMERA INFANCIA;4;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO MAYOR;65;NO INDICA;NO INDICA;PREGRADO - PROFESIONAL;CASADO;FEMENINO;NINGUNA;160;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;38;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA AMBIENTAL, SANITARIA Y AFINES;PREGRADO - PROFESIONAL;CASADO;FEMENINO;NINGUNA;157;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;32;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;ADMINISTRACIÓN;NO INDICA;CASADO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;37;NO INDICA;NO INDICA;POSTGRADO - ESPECIALIZACIÓN;SOLTERO;FEMENINO;NINGUNA;162;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;33;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA MECÁNICA Y AFINES;NO INDICA;CASADO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;44;CIENCIAS DE LA SALUD;OTRO PROGRAMA DE SALUD;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;44;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;CONTADURÍA PÚBLICA;PREGRADO - PROFESIONAL;CASADO;FEMENINO;NINGUNA;170;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;37;BELLAS ARTES;ARTES PLÁSTICAS, VISUALES Y AFINES;NO INDICA;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;162;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;33;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA QUÍMICA Y AFINES;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;51;CIENCIAS SOCIALES Y HUMANAS;LENGUAS MODERNAS, FILOLOGÍA, LINGÜÍSTICA Y AFINES;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;36;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;177;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;39;NO INDICA;NO INDICA;POSTGRADO - MAESTRIA;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;164;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;33;INGENIERÍA, ARQUITECTURA Y AFINES;ARQUITECTURA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);2
ALEMANIA;DEU;C. FRANKFURT;ADULTO;41;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA INDUSTRIAL Y AFINES;NO INDICA;UNION_LIBRE;FEMENINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO MAYOR;66;CIENCIAS DE LA EDUCACIÓN;EDUCACIÓN;NO INDICA;CASADO;MASCULINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;34;NO INDICA;NO INDICA;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;NINGUNA;180;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;38;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;CONTADURÍA PÚBLICA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO JOVEN;28;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA CIVIL Y AFINES;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);1
